attack,defense,budget,substitute_arch,victim_arch,victim_accuracy,substitute_accuracy,fidelity,protection_score,utility_cost,query_efficiency,attack_roi,defense_latency_ms,meta_attack,meta_queries_used,meta_query_time_s,meta_rounds,meta_train_time_s
knockoff_nets,throttle_500,1000,small_cnn,resnet50,82.65,27.77,29.39,0.664,0.0,29.39,0.02777,0.015,knockoff_nets,1000,0.73,,10.28
knockoff_nets,throttle_500,1000,mobilenetv3_small,resnet50,82.65,10.0,9.4,0.879,0.0,9.4,0.01,0.004,knockoff_nets,1000,0.73,,6.67
knockoff_nets,throttle_500,5000,small_cnn,resnet50,82.65,30.02,31.93,0.6368,0.0,6.386,0.006004,0.006,knockoff_nets,5000,2.88,,51.43
knockoff_nets,throttle_500,5000,mobilenetv3_small,resnet50,82.65,18.65,19.34,0.7743,0.0,3.868,0.00373,0.005,knockoff_nets,5000,2.92,,34.23
knockoff_nets,throttle_1000,1000,small_cnn,resnet50,82.65,35.15,36.75,0.5747,0.0,36.75,0.03515,0.005,knockoff_nets,1000,0.7,,9.92
knockoff_nets,throttle_1000,1000,mobilenetv3_small,resnet50,82.65,10.0,9.54,0.879,0.0,9.54,0.01,0.005,knockoff_nets,1000,0.71,,6.64
knockoff_nets,throttle_1000,5000,small_cnn,resnet50,82.65,33.08,34.13,0.5998,0.0,6.826,0.006616,0.005,knockoff_nets,5000,2.9,,51.48
knockoff_nets,throttle_1000,5000,mobilenetv3_small,resnet50,82.65,33.03,33.53,0.6004,0.0,6.706,0.006606,0.005,knockoff_nets,5000,2.88,,34.06
knockoff_nets,poison_0.30,1000,small_cnn,resnet50,82.65,30.84,32.09,0.6269,0.0,32.09,0.03084,0.174,knockoff_nets,1000,0.7,,9.93
knockoff_nets,poison_0.30,1000,mobilenetv3_small,resnet50,82.65,10.0,9.54,0.879,0.0,9.54,0.01,0.177,knockoff_nets,1000,0.7,,6.62
knockoff_nets,poison_0.30,5000,small_cnn,resnet50,82.65,39.66,41.46,0.5201,0.0,8.292,0.007932,0.176,knockoff_nets,5000,2.92,,51.57
knockoff_nets,poison_0.30,5000,mobilenetv3_small,resnet50,82.65,52.32,52.93,0.367,0.0,10.586,0.010464,0.179,knockoff_nets,5000,2.91,,34.11
knockoff_nets,poison_0.50,1000,small_cnn,resnet50,82.65,26.36,27.46,0.6811,0.0,27.46,0.02636,0.252,knockoff_nets,1000,0.7,,9.99
knockoff_nets,poison_0.50,1000,mobilenetv3_small,resnet50,82.65,10.0,10.25,0.879,0.0,10.25,0.01,0.248,knockoff_nets,1000,0.69,,6.7
knockoff_nets,poison_0.50,5000,small_cnn,resnet50,82.65,36.39,38.17,0.5597,0.0,7.634,0.007278,0.254,knockoff_nets,5000,2.92,,51.52
knockoff_nets,poison_0.50,5000,mobilenetv3_small,resnet50,82.65,36.1,36.99,0.5632,0.0,7.398,0.00722,0.246,knockoff_nets,5000,2.93,,34.07
knockoff_nets,adaptive_aggressive,1000,small_cnn,resnet50,82.65,33.61,34.76,0.5933,0.0,34.76,0.03361,0.015,knockoff_nets,1000,0.74,,10.05
knockoff_nets,adaptive_aggressive,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.015,knockoff_nets,1000,0.71,,6.68
knockoff_nets,adaptive_aggressive,5000,small_cnn,resnet50,82.65,39.0,40.83,0.5281,0.0,8.166,0.0078,0.015,knockoff_nets,5000,2.93,,52.31
knockoff_nets,adaptive_aggressive,5000,mobilenetv3_small,resnet50,82.65,61.27,62.12,0.2587,0.0,12.424,0.012254,0.016,knockoff_nets,5000,2.96,,34.39
active_learning,throttle_250,1000,small_cnn,resnet50,82.65,23.25,24.06,0.7187,0.0,24.06,0.02325,0.004,active_learning,1000,22.24,5,10.08
active_learning,throttle_250,1000,mobilenetv3_small,resnet50,82.65,10.0,11.32,0.879,0.0,11.32,0.01,0.005,active_learning,1000,19.31,5,6.74
active_learning,throttle_250,5000,small_cnn,resnet50,82.65,26.94,28.01,0.674,0.0,5.602,0.005388,0.005,active_learning,5000,63.05,5,52.32
active_learning,throttle_250,5000,mobilenetv3_small,resnet50,82.65,18.16,18.2,0.7803,0.0,3.64,0.003632,0.005,active_learning,5000,46.84,5,34.91
active_learning,throttle_500,1000,small_cnn,resnet50,82.65,27.49,28.62,0.6674,0.0,28.62,0.02749,0.004,active_learning,1000,23.49,5,10.1
active_learning,throttle_500,1000,mobilenetv3_small,resnet50,82.65,10.0,11.32,0.879,0.0,11.32,0.01,0.005,active_learning,1000,19.35,5,6.54
active_learning,throttle_500,5000,small_cnn,resnet50,82.65,31.03,32.07,0.6246,0.0,6.414,0.006206,0.004,active_learning,5000,63.37,5,52.37
active_learning,throttle_500,5000,mobilenetv3_small,resnet50,82.65,23.86,24.01,0.7113,0.0,4.802,0.004772,0.004,active_learning,5000,46.04,5,35.21
active_learning,throttle_1000,1000,small_cnn,resnet50,82.65,35.71,37.36,0.5679,0.0,37.36,0.03571,0.005,active_learning,1000,22.47,5,10.12
active_learning,throttle_1000,1000,mobilenetv3_small,resnet50,82.65,10.0,9.77,0.879,0.0,9.77,0.01,0.005,active_learning,1000,19.33,5,6.88
active_learning,throttle_1000,5000,small_cnn,resnet50,82.65,30.91,32.33,0.626,0.0,6.466,0.006182,0.004,active_learning,5000,64.33,5,51.62
active_learning,throttle_1000,5000,mobilenetv3_small,resnet50,82.65,28.67,29.84,0.6531,0.0,5.968,0.005734,0.005,active_learning,5000,46.36,5,35.39
active_learning,poison_0.30,1000,small_cnn,resnet50,82.65,31.04,31.48,0.6244,0.0,31.48,0.03104,0.179,active_learning,1000,22.35,5,10.05
active_learning,poison_0.30,1000,mobilenetv3_small,resnet50,82.65,10.0,10.25,0.879,0.0,10.25,0.01,0.178,active_learning,1000,19.25,5,6.72
active_learning,poison_0.30,5000,small_cnn,resnet50,82.65,40.92,42.71,0.5049,0.0,8.542,0.008184,0.181,active_learning,5000,63.35,5,53.08
active_learning,poison_0.30,5000,mobilenetv3_small,resnet50,82.65,50.43,51.86,0.3898,0.0,10.372,0.010086,0.179,active_learning,5000,47.4,5,35.3
active_learning,poison_0.50,1000,small_cnn,resnet50,82.65,28.09,28.83,0.6601,0.0,28.83,0.02809,0.25,active_learning,1000,23.0,5,10.26
active_learning,poison_0.50,1000,mobilenetv3_small,resnet50,82.65,10.0,9.4,0.879,0.0,9.4,0.01,0.25,active_learning,1000,19.3,5,6.8
active_learning,poison_0.50,5000,small_cnn,resnet50,82.65,33.94,35.59,0.5894,0.0,7.118,0.006788,0.247,active_learning,5000,64.19,5,53.3
active_learning,poison_0.50,5000,mobilenetv3_small,resnet50,82.65,35.8,36.94,0.5668,0.0,7.388,0.00716,0.242,active_learning,5000,46.8,5,35.35
active_learning,adaptive_aggressive,1000,small_cnn,resnet50,82.65,31.66,32.97,0.6169,0.0,32.97,0.03166,0.016,active_learning,1000,22.45,5,10.2
active_learning,adaptive_aggressive,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.016,active_learning,1000,19.55,5,6.83
active_learning,adaptive_aggressive,5000,small_cnn,resnet50,82.65,41.91,43.86,0.4929,0.0,8.772,0.008382,0.042,active_learning,5000,64.01,5,52.71
active_learning,adaptive_aggressive,5000,mobilenetv3_small,resnet50,82.65,61.11,62.56,0.2606,0.0,12.512,0.012222,0.015,active_learning,5000,45.94,5,35.18
