attack,defense,budget,substitute_arch,victim_arch,victim_accuracy,substitute_accuracy,fidelity,protection_score,utility_cost,query_efficiency,attack_roi,defense_latency_ms,meta_attack,meta_queries_used,meta_query_time_s,meta_rounds,meta_train_time_s
knockoff_nets,adaptive_aggressive,1000,small_cnn,resnet50,82.65,33.61,34.76,0.5933,0.0,34.76,0.03361,0.019,knockoff_nets,1000,0.71,,9.95
knockoff_nets,adaptive_aggressive,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.015,knockoff_nets,1000,0.72,,6.12
knockoff_nets,adaptive_aggressive,5000,small_cnn,resnet50,82.65,39.0,40.83,0.5281,0.0,8.166,0.0078,0.015,knockoff_nets,5000,2.94,,51.59
knockoff_nets,adaptive_aggressive,5000,mobilenetv3_small,resnet50,82.65,61.27,62.12,0.2587,0.0,12.424,0.012254,0.021,knockoff_nets,5000,2.93,,33.48
active_learning,throttle_250,1000,small_cnn,resnet50,82.65,23.25,24.06,0.7187,0.0,24.06,0.02325,0.005,active_learning,1000,22.65,5,9.89
active_learning,throttle_250,1000,mobilenetv3_small,resnet50,82.65,10.0,11.32,0.879,0.0,11.32,0.01,0.006,active_learning,1000,19.37,5,6.51
active_learning,throttle_250,5000,small_cnn,resnet50,82.65,26.94,28.01,0.674,0.0,5.602,0.005388,0.005,active_learning,5000,62.94,5,51.69
active_learning,throttle_250,5000,mobilenetv3_small,resnet50,82.65,18.16,18.2,0.7803,0.0,3.64,0.003632,0.006,active_learning,5000,44.96,5,33.79
active_learning,throttle_500,1000,small_cnn,resnet50,82.65,27.49,28.62,0.6674,0.0,28.62,0.02749,0.004,active_learning,1000,22.56,5,9.93
active_learning,throttle_500,1000,mobilenetv3_small,resnet50,82.65,10.0,11.32,0.879,0.0,11.32,0.01,0.005,active_learning,1000,19.52,5,6.66
active_learning,throttle_500,5000,small_cnn,resnet50,82.65,31.03,32.07,0.6246,0.0,6.414,0.006206,0.005,active_learning,5000,62.57,5,51.76
active_learning,throttle_500,5000,mobilenetv3_small,resnet50,82.65,23.86,24.01,0.7113,0.0,4.802,0.004772,0.004,active_learning,5000,45.63,5,33.85
active_learning,throttle_1000,1000,small_cnn,resnet50,82.65,35.71,37.36,0.5679,0.0,37.36,0.03571,0.005,active_learning,1000,22.52,5,9.98
active_learning,throttle_1000,1000,mobilenetv3_small,resnet50,82.65,10.0,9.77,0.879,0.0,9.77,0.01,0.004,active_learning,1000,19.51,5,6.51
active_learning,throttle_1000,5000,small_cnn,resnet50,82.65,30.91,32.33,0.626,0.0,6.466,0.006182,0.005,active_learning,5000,62.98,5,51.49
active_learning,throttle_1000,5000,mobilenetv3_small,resnet50,82.65,28.67,29.84,0.6531,0.0,5.968,0.005734,0.005,active_learning,5000,45.85,5,34.08
active_learning,poison_0.30,1000,small_cnn,resnet50,82.65,31.04,31.48,0.6244,0.0,31.48,0.03104,0.177,active_learning,1000,22.51,5,9.92
active_learning,poison_0.30,1000,mobilenetv3_small,resnet50,82.65,10.0,10.25,0.879,0.0,10.25,0.01,0.174,active_learning,1000,19.27,5,6.48
active_learning,poison_0.30,5000,small_cnn,resnet50,82.65,40.92,42.71,0.5049,0.0,8.542,0.008184,0.178,active_learning,5000,62.75,5,51.54
active_learning,poison_0.30,5000,mobilenetv3_small,resnet50,82.65,50.43,51.86,0.3898,0.0,10.372,0.010086,0.178,active_learning,5000,46.11,5,34.08
active_learning,poison_0.50,1000,small_cnn,resnet50,82.65,28.09,28.83,0.6601,0.0,28.83,0.02809,0.247,active_learning,1000,22.56,5,9.94
active_learning,poison_0.50,1000,mobilenetv3_small,resnet50,82.65,10.0,9.4,0.879,0.0,9.4,0.01,0.251,active_learning,1000,19.81,5,6.72
active_learning,poison_0.50,5000,small_cnn,resnet50,82.65,33.94,35.59,0.5894,0.0,7.118,0.006788,0.244,active_learning,5000,62.77,5,51.67
active_learning,poison_0.50,5000,mobilenetv3_small,resnet50,82.65,35.8,36.94,0.5668,0.0,7.388,0.00716,0.242,active_learning,5000,45.86,5,34.6
active_learning,adaptive_aggressive,1000,small_cnn,resnet50,82.65,31.66,32.97,0.6169,0.0,32.97,0.03166,0.017,active_learning,1000,22.54,5,9.93
active_learning,adaptive_aggressive,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.015,active_learning,1000,19.47,5,6.47
active_learning,adaptive_aggressive,5000,small_cnn,resnet50,82.65,41.91,43.86,0.4929,0.0,8.772,0.008382,0.015,active_learning,5000,62.92,5,51.76
active_learning,adaptive_aggressive,5000,mobilenetv3_small,resnet50,82.65,61.11,62.56,0.2606,0.0,12.512,0.012222,0.015,active_learning,5000,46.23,5,33.65
